category,name,description,price,badge
Espresso Drinks,Espresso,A single shot of rich dark espresso with a velvety crema,3.50,House Favorite
Espresso Drinks,Doppio,Double shot espresso — bold and concentrated for the serious coffee lover,4.00,
Espresso Drinks,Flat White,Two ristretto shots topped with silky steamed whole milk in a smaller ratio,5.50,Popular
Espresso Drinks,Caramel Macchiato,Vanilla-sweetened milk topped with espresso shots and a drizzle of house caramel,6.50,Popular
Espresso Drinks,Hazelnut Latte,Espresso blended with house-made hazelnut syrup and steamed oat milk,6.00,
Espresso Drinks,Dirty Chai,Double espresso pulled through our spiced masala chai concentrate with steamed milk,6.50,House Favorite
Cold Drinks,Cold Brew,Slow-steeped for 18 hours — smooth and low-acid served over ice,5.50,Popular
Cold Drinks,Caramel Frappuccino,Blended espresso with caramel sauce milk and ice topped with whipped cream,7.50,Popular
Cold Drinks,Nutella Mudslide,Rich blended shake with Nutella espresso and a chocolate drizzle,8.00,House Favorite
Cold Drinks,Strawberry Matcha Latte,Ceremonial grade matcha layered over house strawberry milk served iced,7.00,
Cold Drinks,Iced Horchata Latte,Espresso poured over creamy cinnamon-rice milk on ice,6.50,House Favorite
Cold Drinks,Hot Chocolate,Velvety blend of single-origin dark chocolate and steamed whole milk,5.00,
Pastries,Almond Croissant,Butter croissant filled with frangipane and finished with toasted almond flakes,4.50,Popular
Pastries,Cardamom Morning Bun,Flaky laminated dough dusted with cardamom sugar and orange zest,4.00,House Favorite
Pastries,Blueberry Scone,Tender buttermilk scone studded with fresh blueberries and a vanilla glaze,4.00,
Pastries,Chocolate Babka,Twisted brioche swirled with rich dark chocolate and a hint of sea salt,5.50,Popular
Pastries,Pistachio Danish,Buttery pastry filled with rose-scented pistachio cream and candied pistachios,5.00,House Favorite
Sandwiches,Prosciutto & Brie Baguette,Crispy sourdough baguette with prosciutto di Parma brie fig jam and rocket,12.00,Popular
Sandwiches,Smashed Avocado Ciabatta,Herbed avocado on toasted ciabatta with pickled red onion chilli flakes and a poached egg,11.00,House Favorite
Sandwiches,Roasted Chicken Pesto Panini,Grilled panini with herb-roasted chicken sun-dried tomato pesto and provolone,13.00,Popular
